かざり,decoration,飾り,Noun; Noun - used as a suffix
じっしゅう,practice (in the field); training (esp. practical and hands-on); practical exercise; drill,実習,Noun; Suru verb
つよき,confident; assured; self-assured; firm; bullish (e.g. market),強気,Na-adjective; No-adjective; Noun
ようせき,capacity; volume,容積,Noun
せいそう,cleaning; clean-up; garbage collection; scavenging,清掃,Noun; Suru verb
せいねんがっぴ,birth date; date of birth; DOB,生年月日,Noun
じょうしゃ,"boarding (a train, bus, etc.); getting into (e.g. a taxi)",乗車,Noun; Suru verb
ぞくぞく,successively; one after another,続々,Adverb; Adverb taking the 'to' particle
けいとう,system; lineage; ancestry; family line; group (e.g. of colors) (colours); family (e.g. of languages); party; school (of thought),系統,Noun
ちょくつう,direct line; direct communication; connecting directly; through service,直通,Noun; Suru verb; No-adjective
こうてい,affirmation; affirmative (logic),肯定,Noun; Suru verb
げじゅん,last third of a month; 21st to the last day of a month,下旬,Adverbial noun; Temporal noun
げすい,drainage; ditch; gutter; sewerage; sewage; black water,下水,Noun
ちしつ,geological features,地質,Noun
ちゅうじゅん,middle of a month; second third of a month; 11th to 20th day of a month,中旬,Adverbial noun; Temporal noun
ちゅうと,in the middle; half-way,中途,Noun; No-adjective
こうむ,official business; public business,公務,Noun
ていか,list price; regular price; established price,定価,Noun
べつべつ,separately; individually,別々,Na-adjective; Noun; No-adjective
かてい,course; curriculum,課程,Noun
とうざい,"east and west; Orient and Occident; East and West; Ladies and Gentlemen!; Your attention, please!; roll-up, roll-up",東西,Noun; No-adjective; Expression
かいせつ,explanation; commentary; exposition; elucidation,解説,Noun; Suru verb; No-adjective
しんだい,bed; couch,寝台,Noun
もよおし,event; festivities; function; social gathering,催し,Noun
まちかど,street corner,街角,Noun
から,shell; husk; hull; pod,殻,Noun
がくじゅつ,science; learning; scholarship; arts and sciences,学術,Noun
がくりょく,scholarly ability; scholarship; knowledge; literary ability,学力,Noun
うむ,existence or nonexistence; presence or absence; consent or refusal; yes or no,有無,Noun
ようと,use; service; purpose,用途,Noun
なんぼく,north and south; north to south; South Korea and North Korea,南北,Noun
にっか,daily lesson; daily work; daily routine,日課,Noun
しょどう,calligraphy,書道,Noun; No-adjective
じょきょうじゅ,assistant professor; associate professor,助教授,Noun
しょうはい,victory or defeat; issue (of battle); outcome,勝敗,Noun
しょうひん,prize; trophy,賞品,Noun
きゃくせき,"guest seating (e.g. theater, stadium); passenger seat (e.g. taxi); audience",客席,Noun
じょうじゅん,first 10 days of month,上旬,Adverbial noun; Temporal noun
しょくえん,table salt,食塩,Noun
ものさし,ruler; measure,物差し,Noun
きんぎょ,goldfish,金魚,Noun
せいさく,manufacture; production,製作,Noun; Suru verb
めいさく,masterpiece,名作,Noun
そうりょう,postage; carriage; shipping charge,送料,Noun
ぶんりょう,amount; quantity,分量,Noun; Suru verb
しょきゅう,elementary level; beginner level,初級,Noun; No-adjective
ようし,point; essentials; gist; summary,要旨,Noun
ふぞく,attached; belonging (to); included; enclosed,付属,Noun; Suru verb; No-adjective
かねつ,heating; application of heat,加熱,Noun; Suru verb
せめる,to attack; to assault; to assail,攻める,Ichidan verb; Transitive verb
とうゆ,lamp oil; kerosene,灯油,Noun
ぼん,tray; family; household; O-Bon; Bon Festival; Lantern Festival; Festival of the Dead,盆,Noun
こうとう,high class; high grade,高等,Na-adjective; Noun; No-adjective
ないか,"internal medicine, i.e. treatment by medical procedures rather than surgical procedures; department of internal medicine (hospital, etc.)",内科,Noun; No-adjective
こくりつ,national,国立,Noun; No-adjective
こうこう,filial piety; showing devotion (to someone),孝行,Noun; Na-adjective
あんい,easy; simple; easygoing; lighthearted; simplistic; irresponsible,安易,Na-adjective; Noun
しょうもう,exhaustion; consumption; using up; dissipation,消耗,Noun; Suru verb
せいちょう,growth (of a plant),生長,Noun; Suru verb
かくじゅう,expansion,拡充,Noun; Suru verb; No-adjective
かくべつ,particular; special; exceptional; especial; particularly; especially; exceptionally,格別,No-adjective; Na-adjective; Noun; Adverb
はなしかける,to address (someone); to accost a person; to talk (to someone); to begin to talk; to start a conversation,話しかける,Ichidan verb; Transitive verb
だます,to trick; to cheat; to deceive; to coax; to wheedle; to soothe and humor (humour),騙す,Godan verb with su ending; Transitive verb
つきあう,to associate with; to keep company with; to go out with; to go steady with; to go along with; to follow someone's lead; to accompany someone,付き合う,Godan verb with u ending; intransitive verb
おちつく,to calm down; to compose oneself; to regain presence of mind; to calm down; to settle down; to die down; to become stable,落ち着く,Godan verb with ku ending; intransitive verb
ふるまう,to behave; to conduct oneself; to entertain; to treat someone (to a drink); to make tea for someone (tea ceremony),振る舞う,Godan verb with u ending; Transitive verb
あてはまる,to apply (a rule); to be applicable; to come under (a category); to fulfill,当てはまる,Godan verb with ru ending; intransitive verb
うかぶ,to float; to be suspended; to rise to surface; to come to mind; to have inspiration,浮かぶ,Godan verb with bu ending
おもいつく,to think of; to hit upon; to come into one's mind; to be struck with an idea; to remember; to recall,思いつく,Godan verb with ku ending; Transitive verb; intransitive verb
めじるし,mark; sign; landmark; benchmark,目印,Noun
なす,to build up; to establish; to form; to become (a state); to accomplish; to achieve; to succeed in; to change into; to do; to perform; to intend to; to attempt; to try,為す,Godan verb with su ending; Transitive verb; Auxiliary verb
ひきうける,to take on; to undertake; to accept; to take charge of; to take over; to inherit; to guarantee; to vouch for,引き受ける,Ichidan verb; Transitive verb
とらえる,to catch; to capture; to seize; to arrest; to grasp (e.g. meaning); to perceive; to capture (e.g. features); to captivate,捉える,Ichidan verb; Transitive verb
おいかける,to chase; to run after; to pursue,追いかける,Ichidan verb; Transitive verb
こぼれる,"to spill; to fall out of; to overflow; to peek through; to become visible (although normally not); to escape (of a smile, tear, etc.)",零れる,Ichidan verb; intransitive verb
めぐまれる,to be blessed with; to be rich in; to abound in,恵まれる,Ichidan verb; intransitive verb
とりだす,to take out; to produce; to pick out; to fetch; to retrieve,取り出す,Godan verb with su ending; Transitive verb
ちかう,to swear; to vow; to take an oath; to pledge,誓う,Godan verb with u ending; Transitive verb
とびこむ,to jump in; to leap in; to plunge into; to dive; to burst in; to barge in,飛び込む,Godan verb with mu ending; intransitive verb
すっぱい,sour; acid,酸っぱい,I-adjective
たくわえる,to store; to save up; to stock up on; to lay in stock; to accumulate (e.g. knowledge); to build up (e.g. experience),蓄える,Ichidan verb; Transitive verb
たちどまる,to stop (in one's tracks); to come to a stop; to halt; to pause,立ち止まる,Godan verb with ru ending; intransitive verb
ほる,to dig; to excavate; to hollow; to delve into; to dig up (e.g. vegetables); (for two men) to have anal sex,掘る,Godan verb with ru ending; Transitive verb
かかわる,to be affected; to be influenced; to be concerned with; to have to do with; to stick to (opinions),関わる,Godan verb with ru ending; intransitive verb
たとえる,to compare (something) to; to liken; to speak figuratively; to use a simile,例える,Ichidan verb; Transitive verb
いやがる,to hate; to dislike,嫌がる,Godan verb with ru ending; Transitive verb
はえる,to grow; to spring up; to sprout; to cut (teeth),生える,Ichidan verb; intransitive verb
さまたげる,to disturb; to prevent; to obstruct; to hinder,妨げる,Ichidan verb; Transitive verb
ふく,to wipe; to dry,拭く,Godan verb with ku ending; Transitive verb
おこたる,to be negligent in doing something; to shirk; to be off one's guard,怠る,Godan verb with ru ending; Transitive verb
もうける,"to profit; to get; to earn; to gain; to have (bear, beget) a child; to have a stroke of luck",儲ける,Ichidan verb; Transitive verb
めだつ,to be conspicuous; to stand out,目立つ,Godan verb with tsu ending; intransitive verb
はやる,to be popular; to come into fashion; to be prevalent; to spread widely (e.g. disease); to be endemic; to flourish; to thrive,流行る,Godan verb with ru ending; intransitive verb
ける,to kick; to refuse; to reject; to stamp (on the ground); to firmly press one's feet (against something),蹴る,Godan verb with ru ending; Transitive verb
たすかる,to be saved; to be rescued; to survive; to escape harm; to be spared damage; to be helped; to be saved trouble,助かる,Godan verb with ru ending; intransitive verb
さわがしい,"noisy; boisterous; turbulent (era, etc.); troubled",騒がしい,I-adjective
やくす,to translate; to interpret,訳す,Godan verb with su ending; Transitive verb
とける,to melt; to thaw; to fuse; to dissolve,溶ける,Ichidan verb; intransitive verb
にくむ,to hate; to detest,憎む,Godan verb with mu ending; Transitive verb
いくぶん,somewhat; to some extent; to some degree; some; part; portion,幾分,Adverb; Noun
たえず,constantly; always; continually; steadily,絶えず,Adverb
ぞんじる,"to think, feel, consider, know, etc.",存じる,Ichidan verb
あたためる,to warm; to heat,温める,Ichidan verb; Transitive verb
あじわう,to taste; to savor; to savour; to relish; to appreciate; to enjoy; to relish; to digest; to experience; to go through; to taste (e.g. victory); to know (e.g. pain),味わう,Godan verb with u ending; Transitive verb
みじめ,miserable; wretched; unhappy; sad,惨め,Na-adjective
ふやす,to increase; to add to; to augment,増やす,Godan verb with su ending; Transitive verb
ひとやすみ,(short) rest; breather; break,一休み,Noun; Suru verb
たる,to be sufficient; to be enough; to be worth doing; to be worthy of; to deserve; to do (the job); to serve; to answer,足る,Godan verb with ru ending; intransitive verb
ならす,to ring; to sound; to chime; to beat; to be popular; to be esteemed; to be reputed; to state; to insist; to complain,鳴らす,Godan verb with su ending; Transitive verb
とめる,to give shelter to; to lodge; to put up; to accommodate,泊める,Ichidan verb; Transitive verb
ぜひとも,"by all means (with sense of not taking ""no"" for an answer)",是非とも,Adverb
あやしい,suspicious; dubious; doubtful; dodgy,怪しい,I-adjective
かく,to scratch; to perspire; to shovel; to paddle,掻く,Godan verb with ku ending; Transitive verb
ふさぐ,to stop up; to close up; to block (up); to plug up; to stand in the way; to obstruct; to occupy,塞ぐ,Godan verb with gu ending; Transitive verb; intransitive verb
なかなおり,reconciliation; make peace with,仲直り,Noun; Suru verb
ひっかかる,to be caught in; to be stuck in; to stop by; to drop in for a short visit; to be delayed; to take time; to get mixed up in (trouble),引っかかる,Godan verb with ru ending; intransitive verb
からっぽ,empty; vacant; hollow,空っぽ,No-adjective; Na-adjective; Noun
えんそく,excursion; outing; trip,遠足,Noun; Suru verb
ひかくてき,comparatively; relatively,比較的,Adverb; Na-adjective
みおろす,to overlook; to command a view of; to look down on; to despise; to look down on,見下ろす,Godan verb with su ending; Transitive verb
まぜる,to mix; to stir; to blend,混ぜる,Ichidan verb; Transitive verb
あこがれる,to long for; to yearn after; to admire; to be attracted by,憧れる,Ichidan verb; intransitive verb
まく,"to wind; to coil; to roll; to wear (e.g. turban, scarf); to envelope; to shroud; to outflank; to skirt; to link (verse); to move ahead (three hours, etc.)",巻く,Godan verb with ku ending; Transitive verb; intransitive verb
みにくい,ugly; unattractive; unsightly; unseemly,醜い,I-adjective
てらす,to shine on; to illuminate; to compare (with); to refer to,照らす,Godan verb with su ending; Transitive verb
わびる,to apologize; to apologise,詫びる,Ichidan verb; intransitive verb
のぞく,"to peek (through a keyhole, gap, etc.); to look down into (a ravine, etc.); to peek into (a shop, bookstore, etc.); to sneak a look at",覗く,Godan verb with ku ending; Transitive verb; intransitive verb
そる,to shave,剃る,Godan verb with ru ending; Transitive verb
もやす,"to burn; to burn with (emotion, feeling); to be fired up",燃やす,Godan verb with su ending; Transitive verb
つく,"to prick; to stab; to poke; to prod; to push; to thrust; to use (a cane); to prop oneself up with; to press against (the floor, etc.)",突く,Godan verb with ku ending; Transitive verb
うらがえす,to turn inside out; to turn the other way; to turn (something) over,裏返す,Godan verb with su ending; Transitive verb
つっこむ,to thrust (something) into (something); to cram; to stuff; to shove; to plunge into; to charge into; to rush into; to ram into,突っ込む,Godan verb with mu ending; Transitive verb; intransitive verb
あつかましい,impudent; shameless; brazen,厚かましい,I-adjective
おもいがけない,unexpected; contrary to expectations; by chance; casual,思いがけない,I-adjective
くずす,to destroy; to demolish; to pull down; to tear down; to disturb; to put into disorder; to throw off balance; to make shaky; to relax (one's pose),崩す,Godan verb with su ending; Transitive verb
にぶい,"dull (e.g. a knife); blunt; thickheaded; obtuse; stupid; dull (sound, color, etc.); dim (light); slow; sluggish; inert; lethargic; insensitive; dull (e.g. reflexes)",鈍い,I-adjective
どなる,to shout (in anger); to yell,怒鳴る,Godan verb with ru ending; intransitive verb
こいしい,yearned for; longed for; missed,恋しい,I-adjective
そろえる,to collect; to gather; to get together; to complete (a collection); to arrange; to put in order; to prepare; to get ready; to make uniform; to make even; to match,揃える,Ichidan verb; Transitive verb
くみたてる,to assemble; to set up; to construct,組み立てる,Ichidan verb; Transitive verb
しく,to spread out; to lay out; to take a position; to impose widely (e.g. over a city),敷く,Godan verb with ku ending
ぬう,to sew; to stitch; to weave one's way (e.g. through a crowd),縫う,Godan verb with u ending; Transitive verb
すまい,dwelling; house; residence; address; living; life,住まい,Noun; Noun - used as a suffix
すいへいせん,horizon (related to bodies of water),水平線,Noun
ひとりごと,soliloquy; monologue; speaking to oneself,独り言,Noun
あまやかす,to pamper; to spoil,甘やかす,Godan verb with su ending; Transitive verb
いじわる,malicious; ill-tempered; unkind,意地悪,Na-adjective; Noun; Suru verb
すまない,inexcusable; unjustifiable; unpardonable; sorry; remorseful; apologetic; conscience-stricken; excuse me; (I'm) sorry; thank you,済まない,I-adjective; Expression
まげる,to bend; to crook; to bow; to curve; to lean; to tilt; to incline; to slant; to bend (the truth); to distort; to twist; to pervert; to yield (a point),曲げる,Ichidan verb; Transitive verb
かぐ,to sniff; to smell,嗅ぐ,Godan verb with gu ending; Transitive verb
うつる,to be reflected; to harmonize with (harmonise); to come out (photo); to be projected,映る,Godan verb with ru ending; intransitive verb
ちかづける,to bring near; to bring close; to let go near; to associate with; to bring (people) together; to let come near (of a person),近づける,Ichidan verb; Transitive verb
まっさお,deep blue; bright blue; ghastly pale; pallid; white as a sheet,真っ青,Na-adjective; Noun
かたむく,to incline toward; to slant; to lurch; to heel over; to go down (sun); to wane; to sink; to decline,傾く,Godan verb with ku ending; intransitive verb
あむ,"to knit; to plait; to braid; to compile (anthology, dictionary, etc.); to edit",編む,Godan verb with mu ending; Transitive verb
おぎなう,to compensate for; to supplement,補う,Godan verb with u ending; Transitive verb
ずうずうしい,impudent; shameless; brazen; forward,図々しい,I-adjective
ふくめる,to include (in a group or scope); to instruct; to make one understand; to include (a nuance); to put in (an implication); to put in (someone's) mouth,含める,Ichidan verb; Transitive verb
なまいき,impertinent; saucy; cheeky; conceit,生意気,Na-adjective; Noun
くだける,to break (into pieces); to be broken; to be smashed; to collapse; to crumble; to decline; to cool (e.g. enthusiasm),砕ける,Ichidan verb; intransitive verb
しきゅう,urgent; pressing; immediate; prompt; urgently; promptly; at once; right away,至急,No-adjective; Noun; Adverbial noun
ちらかる,to be in disorder; to lie scattered around,散らかる,Godan verb with ru ending; intransitive verb
とる,to take; to catch; to capture,捕る,Godan verb with ru ending; Transitive verb
こげる,to burn; to scorch; to char; to singe,焦げる,Ichidan verb; intransitive verb
はめる,"to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring); to have sex; to fuck",嵌める,Ichidan verb; Transitive verb
うけたまわる,"to hear; to be told; to know; to receive (order); to undertake; to comply; to take (a reservation, etc.)",承る,Godan verb with ru ending; Transitive verb
むしあつい,humid; sultry,蒸し暑い,I-adjective
めざまし,alarm clock; waking up; keeping oneself awake; type of candy given to a child after it wakes up from a nap,目覚まし,Noun
さっそく,at once; immediately; without delay; promptly,早速,Adverb
かたまる,to harden; to solidify; to become firm; to become certain; to gather (together); to assemble; to huddle together,固まる,Godan verb with ru ending; intransitive verb
はう,to creep; to crawl,這う,Godan verb with u ending; intransitive verb
あらためて,another time; again; over again; once again; formally; especially; intentionally; deliberately,改めて,Adverb
ひつじゅひん,necessities; necessary article; requisite; essentials,必需品,Noun
うく,to float; to become merry; to be cheerful; to become loose; to become unsteady; to feel out of it; to be cut off (e.g. from those around you),浮く,Godan verb with ku ending; intransitive verb
かえる,to return; to come back; to go back; to turn over; to become extremely; to become completely,返る,Godan verb with ru ending; intransitive verb; Suffix
うやまう,to show respect for; to revere; to honour; to honor,敬う,Godan verb with u ending; Transitive verb
ちかよる,to approach; to draw near,近寄る,Godan verb with ru ending; intransitive verb
あおじろい,pale; pallid; bluish-white,青白い,I-adjective
あくび,"yawn; yawning; kanji ""yawning"" radical (radical 76)",欠伸,Noun
できあがる,to be completed; to be finished; to be ready (e.g. to serve or eat); to be very drunk,出来上がる,Godan verb with ru ending; intransitive verb
けわしい,precipitous; rugged; inaccessible; impregnable; grim; severe; stern,険しい,I-adjective
ひきかえす,to turn back; to go back; to come back; to return,引き返す,Godan verb with su ending; Transitive verb
だとう,valid; proper; right; appropriate,妥当,Na-adjective; Noun
ころがる,to roll; to tumble; to fall over; to roll over; to lie down; to be scattered about; to be lying around; (of a situation or outcome) to change; to turn out,転がる,Godan verb with ru ending; intransitive verb
せおう,to carry on one's back; to be burdened with; to take responsibility for; to have (something) in the background; to be in front (of something),背負う,Godan verb with u ending; Transitive verb; intransitive verb
かてい,assumption; supposition; hypothesis,仮定,Noun; Suru verb
なにぶん,some; any; (a) little; of some kind; please; anyway; anyhow; at any rate; after all,何分,Noun; No-adjective; Adverb
いいだす,to begin to say; to start talking; to broach (a matter); to bring up; to be the first to say; to suggest (doing); to propose,言い出す,Godan verb with su ending; Transitive verb
かくち,every place; various places,各地,Noun; No-adjective
さく,"to tear; to rip up; to cut up; to cleave; to cut open (esp. the abdomen); to forcibly separate (e.g. two lovers); to spare (time, money, etc.)",裂く,Godan verb with ku ending; Transitive verb
さきほど,some time ago; not long ago; just now,先ほど,Adverbial noun; Temporal noun
かさなる,to be piled up; to lie on top of one another; to come one after another; to happen over and over; to pile up (e.g. stress); to accumulate,重なる,Godan verb with ru ending; intransitive verb
てる,"to shine; to look slightly upward (of a noh mask; indicating joy, etc.)",照る,Godan verb with ru ending; intransitive verb
きょうしゅく,feeling obliged; being grateful; being thankful; being sorry; shrinking back in fear,恐縮,Noun; Suru verb; Na-adjective
おそわる,to be taught (by); to learn from,教わる,Godan verb with ru ending; intransitive verb
あてな,(addressee's) name; (recipient's) name and address,宛名,Noun
よみがえる,to be resurrected; to be resuscitated; to be rehabilitated; to be revived; to be recalled (e.g. memories),蘇る,Godan verb with ru ending; intransitive verb
らくだい,failure (in an examination); failing to advance (to the next year); falling short of the standard; not making the grade,落第,Noun; Suru verb
しめる,to become damp; to become moist; to become wet; to lack energy; to be in a slump; to be in low spirits; to feel depressed,湿る,Godan verb with ru ending; intransitive verb
はねる,to jump; to leap; to prance; to spring up; to break up; to close; to come to an end; to hit (e.g. to have a car hit something or someone),跳ねる,Ichidan verb; intransitive verb
にがす,to set free; to let go; to release; to miss (e.g. a chance); to lose; to let get away; to fail to catch,逃がす,Godan verb with su ending; Transitive verb
そろう,to be complete; to be all present; to make a full set; to be satisfied (of conditions); to be equal; to be uniform; to be even; to match; to gather,揃う,Godan verb with u ending; intransitive verb
しずまる,to become quiet; to quiet down; to quieten down; to calm down; to die down; to subside; to abate,静まる,Godan verb with ru ending; intransitive verb
さいなん,calamity; misfortune; disaster,災難,Noun
すむ,"to become clear (water, air, etc.); to become transparent; to resonate clearly (e.g. voice); to become serene; to become tranquil; to be free of worries",澄む,Godan verb with mu ending; intransitive verb
ようもう,wool,羊毛,Noun; No-adjective
みのる,to bear fruit; to ripen,実る,Godan verb with ru ending; intransitive verb
ためる,to amass; to accumulate; to store; to leave unpaid,溜める,Ichidan verb; Transitive verb
かわかす,"to dry (clothes, etc.); to desiccate",乾かす,Godan verb with su ending; Transitive verb
うけもつ,to take (be in) charge of,受け持つ,Godan verb with tsu ending; Transitive verb
いばる,to put on airs; to act big; to throw one's weight about; to be overbearing,威張る,Godan verb with ru ending; intransitive verb
へいぼん,ordinary; common; commonplace; mediocre,平凡,Na-adjective; Noun
とけこむ,to melt into; to dissolve into; to merge into; to blend into (surroundings); to fit in; to adapt to; to integrate,溶け込む,Godan verb with mu ending; intransitive verb
うちあわせ,"advance arrangements; preparatory meeting; briefing session; overlap (of a coat, etc.); making something match exactly",打ち合わせ,Noun; Suru verb
ごぶさた,"not writing or contacting for a while; neglecting (failing) to write (call, visit, etc.); long silence",ご無沙汰,Noun; Suru verb
いつのまにか,before one knows; before one becomes aware of; unnoticed; unawares,いつの間にか,Adverb
つうよう,popular use; circulation; to pass as; to pass for,通用,Noun; Suru verb
たがやす,to till; to plow; to plough; to cultivate,耕す,Godan verb with su ending; Transitive verb
こしかける,to sit (down),腰掛ける,Ichidan verb; intransitive verb
おもいこむ,to be under impression that; to be convinced that; to imagine that; to set one's heart on,思い込む,Godan verb with mu ending; intransitive verb
めうえ,superior; superiors; senior,目上,Noun
おしい,regrettable; disappointing; unfortunate; precious; dear; valuable; too good for; deserving better; almost (but not quite); close (but no cigar),惜しい,I-adjective
とがる,to taper to a point; to become pointed; to become sharp; to look displeased; to look sour; to be on edge; to be touchy,尖る,Godan verb with ru ending; intransitive verb
しんずる,to believe; to believe in; to place trust in; to confide in,信ずる,Ichidan verb - zuru verb (alternative form of -jiru verbs); Transitive verb
まねる,to mimic; to imitate,真似る,Ichidan verb; Transitive verb
はく,to sweep; to brush; to clean; to gather silkworms,掃く,Godan verb with ku ending; Transitive verb
いんりょく,"attraction (e.g. magnetic, gravitation); affinity; gravitational pull; attractiveness; magnetism",引力,Noun
ひきとめる,to detain; to check; to restrain,引き止める,Ichidan verb; Transitive verb
そうぞうしい,noisy; loud; boisterous; clamorous; turbulent; unsettled; restless,騒々しい,I-adjective
げひん,vulgar; indecent; coarse; crude,下品,Na-adjective; Noun
そくたつ,express; special delivery,速達,Noun; Suru verb
ためいき,sigh,ため息,Noun
ふける,to get late; to advance; to wear on,更ける,Ichidan verb; intransitive verb
ねっする,to heat; to heat up,熱する,Suru verb - special class
おもたい,"heavy; weighty; heavy (feeling, atmosphere, etc.); serious; gloomy; depressing",重たい,I-adjective
とかす,to dissolve; to melt,溶かす,Godan verb with su ending; Transitive verb
まざる,to be mixed; to be blended with; to associate with; to mingle with,混ざる,Godan verb with ru ending; intransitive verb
ぬらす,to wet; to moisten; to dampen; to soak,濡らす,Godan verb with su ending; Transitive verb
さぐる,to feel around for; to fumble for; to grope for; to search for; to investigate; to probe into; to spy on; to sound out; to explore (parts unknown),探る,Godan verb with ru ending; Transitive verb
たんしょ,defect; demerit; weak point; disadvantage,短所,Noun
きせる,to put clothes on (someone); to plate; to gild; to veneer; to accuse (of some crime); to give (a bad name),着せる,Ichidan verb; Transitive verb
とだな,cupboard; locker; closet; wardrobe,戸棚,Noun
ひろめる,to spread; to propagate; to popularize; to disseminate; to broaden; to extend; to widen; to enlarge,広める,Ichidan verb; Transitive verb
ちらかす,to scatter around; to leave untidy,散らかす,Godan verb with su ending; Transitive verb
ととのう,to be ready; to be prepared; to be arranged; to be in order; to be put in order; to be well-ordered; to be well-proportioned; to be adjusted,整う,Godan verb with u ending; intransitive verb
とりいれる,to harvest; to reap; to take in; to gather in; to adopt (e.g. idea); to accept (e.g. advice); to introduce; to borrow (e.g. word),取り入れる,Ichidan verb; Transitive verb
ちぢむ,to shrink; to contract; to diminish (in size),縮む,Godan verb with mu ending; intransitive verb
にえる,to be boiled; to be cooked,煮える,Ichidan verb; intransitive verb
すえっこ,youngest child,末っ子,Noun
あてはめる,to apply; to adapt,当てはめる,Ichidan verb; Transitive verb
